id,identifier,category_id,cost,fling_power,fling_effect_id,name,short_effect,effect
1,master-ball,34,0,,,Master Ball,Catches a wild Pokémon every time.,"Used in battle
:   [Catches]{mechanic:catch} a wild Pokémon without fail.

    If used in a trainer battle, nothing happens and the ball is lost."
2,ultra-ball,34,800,,,Ultra Ball,Tries to catch a wild Pokémon.  Success rate is 2×.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 2×.

    If used in a trainer battle, nothing happens and the ball is lost."
3,great-ball,34,600,,,Great Ball,Tries to catch a wild Pokémon.  Success rate is 1.5×.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1.5×.

    If used in a trainer battle, nothing happens and the ball is lost."
4,poke-ball,34,200,,,Poké Ball,Tries to catch a wild Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
5,safari-ball,34,0,,,Safari Ball,Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1.5×.

This item can only be used in the []{location:great-marsh} or []{location:kanto-safari-zone}."
6,net-ball,33,1000,,,Net Ball,Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If the wild Pokémon is []{type:water}- or []{type:bug}-type, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
7,dive-ball,33,1000,,,Dive Ball,"Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing.","Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If the wild Pokémon was encountered by surfing or fishing, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
8,nest-ball,33,1000,,,Nest Ball,"Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30.","Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  Has a catch rate of given by `(40 - level) / 10`, where `level` is the wild Pokémon's level, to a maximum of 3.9× for level 1 Pokémon.  If the wild Pokémon's level is higher than 30, this ball has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
9,repeat-ball,33,1000,,,Repeat Ball,Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If the wild Pokémon's species is marked as caught in the trainer's Pokédex, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
10,timer-ball,33,1000,,,Timer Ball,"Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×.","Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  Has a catch rate of 1.1× on the first turn of the battle and increases by 0.1× every turn, to a maximum of 4× on turn 30.

    If used in a trainer battle, nothing happens and the ball is lost."
11,luxury-ball,33,3000,,,Luxury Ball,Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.  Whenever the caught Pokémon's [happiness]{mechanic:happiness} increases, it increases by one extra point.

    If used in a trainer battle, nothing happens and the ball is lost."
12,premier-ball,33,20,,,Premier Ball,Tries to catch a wild Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
13,dusk-ball,33,1000,,,Dusk Ball,Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If it's currently nighttime or the wild Pokémon was encountered while walking in a cave, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
14,heal-ball,33,300,,,Heal Ball,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.  The caught Pokémon's [HP]{mechanic:hp} is immediately restored, [PP]{mechanic:pp} for all its moves is restored, and any [status ailment]{mechanic:status-ailment} is cured.

    If used in a trainer battle, nothing happens and the ball is lost."
15,quick-ball,33,1000,,,Quick Ball,"Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn.","Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 4× on the first turn of a battle, but 1× any other time.

    If used in a trainer battle, nothing happens and the ball is lost."
16,cherish-ball,33,0,,,Cherish Ball,Tries to catch a wild Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
17,potion,27,200,30,,Potion,Restores 20 HP.,"Used on a friendly Pokémon
:   Restores 20 [HP]{mechanic:hp}."
18,antidote,30,200,30,,Antidote,Cures poison.,"Used on a party Pokémon
:   Cures [poison]{mechanic:poison}."
19,burn-heal,30,200,30,,Burn Heal,Cures a burn.,"Used on a party Pokémon
:   Cures a [burn]{mechanic:burn}."
20,ice-heal,30,200,30,,Ice Heal,Cures freezing.,"Used on a party Pokémon
:   Cures [freezing]{mechanic:freezing}."
21,awakening,30,200,30,,Awakening,Cures sleep.,"Used on a party Pokémon
:   Cures [sleep]{mechanic:sleep}."
22,paralyze-heal,30,200,30,,Paralyze Heal,Cures paralysis.,"Used on a party Pokémon
:   Cures [paralysis]{mechanic:paralysis}."
23,full-restore,27,3000,30,,Full Restore,Restores HP to full and cures any status ailment and confusion.,"Used on a party Pokémon
:   Restores [HP]{mechanic:hp} to full and cures any [status ailment]{mechanic:status-ailment} and [confusion]{mechanic:confusion}."
24,max-potion,27,2500,30,,Max Potion,Restores HP to full.,"Used on a party Pokémon
:   Restores [HP]{mechanic:hp} to full."
25,hyper-potion,27,1500,30,,Hyper Potion,Restores 200 HP.,"Used on a party Pokémon
:   Restores 200 [HP]{mechanic:hp}."
26,super-potion,27,700,30,,Super Potion,Restores 50 HP.,"Used on a party Pokémon
:   Restores 50 [HP]{mechanic:hp}."
27,full-heal,30,400,30,,Full Heal,Cures any status ailment and confusion.,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status-ailment} and [confusion]{mechanic:confusion}."
28,revive,29,2000,30,,Revive,Revives with half HP.,"Used on a party Pokémon
:   Revives the Pokémon and restores half its [HP]{mechanic:hp}."
29,max-revive,29,4000,30,,Max Revive,Revives with full HP.,"Used on a party Pokémon
:   Revives the Pokémon and restores its [HP]{mechanic:hp} to full."
30,fresh-water,27,200,30,,Fresh Water,Restores 50 HP.,"Used on a party Pokémon
:   Restores 50 [HP]{mechanic:hp}."
31,soda-pop,27,300,30,,Soda Pop,Restores 60 HP.,"Used on a party Pokémon
:   Restores 60 [HP]{mechanic:hp}."
32,lemonade,27,400,30,,Lemonade,Restores 80 HP.,"Used on a party Pokémon
:   Restores 80 [HP]{mechanic:hp}."
33,moomoo-milk,27,600,30,,Moomoo Milk,Restores 100 HP.,"Used on a party Pokémon
:   Restores 100 [HP]{mechanic:hp}."
34,energy-powder,27,500,30,,Energy Powder,"Restores 50 HP, but lowers happiness.","Used on a party Pokémon
:   Restores 50 [HP]{mechanic:hp}.  Decreases [happiness]{mechanic:happiness} by 5/5/10."
35,energy-root,27,1200,30,,Energy Root,"Restores 200 HP, but lowers happiness.","Used on a party Pokémon
:   Restores 200 [HP]{mechanic:hp}.  Decreases [happiness]{mechanic:happiness} by 10/10/15."
36,heal-powder,30,300,30,,Heal Powder,"Cures any status ailment, but lowers happiness.","Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status-ailment}.  Decreases [happiness]{mechanic:happiness} by 5/5/10."
37,revival-herb,29,2800,30,,Revival Herb,"Revives with full HP, but lowers happiness.","Used on a party Pokémon
:   Revives a [fainted]{mechanic:faint} Pokémon and restores its [HP]{mechanic:hp} to full.  Decreases [happiness]{mechanic:happiness} by 10/10/15."
38,ether,28,1200,30,,Ether,Restores 10 PP for one move.,"Used on a party Pokémon
:   Restores 10 [PP]{mechanic:pp} for a selected move."
39,max-ether,28,2000,30,,Max Ether,Restores PP to full for one move.,"Used on a party Pokémon
:   Restores [PP]{mechanic:pp} to full for a selected move."
40,elixir,28,3000,30,,Elixir,Restores 10 PP for each move.,"Used on a party Pokémon
:   Restores 10 [PP]{mechanic:pp} for each move."
41,max-elixir,28,4500,30,,Max Elixir,Restores PP to full for each move.,"Used on a party Pokémon
:   Restores [PP]{mechanic:pp} to full for each move."
42,lava-cookie,30,350,30,,Lava Cookie,Cures any status ailment and confusion.,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status-ailment} and [confusion]{mechanic:confusion}."
43,berry-juice,27,200,30,,Berry Juice,Restores 20 HP.,"Used on a party Pokémon
:   Restores 20 [HP]{mechanic:hp}."
44,sacred-ash,29,50000,30,,Sacred Ash,Revives all fainted Pokémon with full HP.,"Used
:   Revives all [fainted]{mechanic:faint} Pokémon in the party and restores their [HP]{mechanic:hp} to full."
45,hp-up,26,10000,30,,HP Up,Raises HP effort and happiness.,"Used on a party Pokémon
:   Increases [HP]{mechanic:hp} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
